         time |     flux | uncertainty
120.734266536 | 401374.0 |      91.523
120.734947658 | 401438.0 |     91.5283
 120.73562878 | 401356.0 |     91.5215
120.736309902 | 401483.0 |     91.5325
120.736991124 | 401264.0 |     91.5098
120.737672146 | 401358.0 |     91.5137
120.738353268 | 401310.0 |      91.515
 120.73903449 | 401439.0 |     91.5292
120.739715612 | 401221.0 |     91.5057
120.740396733 | 401137.0 |     91.4985
120.741077955 | 401189.0 |     91.5032
120.741759077 | 401162.0 |      91.501
120.742440299 | 401336.0 |     91.5109
120.743121321 | 401249.0 |     91.5099
120.743802443 | 401315.0 |     91.5072
120.744483565 | 401211.0 |     91.5083
120.745164787 | 401312.0 |     91.5326
120.745845909 | 401290.0 |      91.515
120.746527131 | 401236.0 |     91.5074
120.747208252 | 401454.0 |     91.5153
120.747889374 | 401461.0 |      91.533
120.748570596 | 401440.0 |     91.5187
120.749251618 | 401414.0 |     91.5266
 120.74993274 | 401281.0 |     91.5136
120.750613862 | 401271.0 |     91.5113
120.751295084 | 401168.0 |     91.5014
120.751976206 | 401241.0 |     91.5095
120.752657428 | 401300.0 |      91.507
120.753338549 | 401295.0 |     91.5141
120.754019671 | 401353.0 |     91.5203
120.754700693 | 401523.0 |     91.5366
120.755381915 | 401446.0 |     91.5292
120.756063037 | 401448.0 |     91.5292
120.756744159 | 401286.0 |     91.5144
120.757425381 | 401350.0 |     91.5213
120.758106503 | 401422.0 |     91.5271
120.758787625 | 401230.0 |     91.5081
120.759468846 | 401422.0 |     91.5282
120.760149868 | 401206.0 |     91.5047
 120.76083099 | 401239.0 |     91.5018
120.761512212 | 401370.0 |     91.5228
120.762193334 | 401422.0 |     91.5271
120.762874456 | 401203.0 |     91.5042
120.763555578 | 401494.0 |     91.5359
  120.7642368 | 401217.0 |     91.5076
120.764917922 | 401429.0 |     91.5257
120.765598943 | 401367.0 |     91.5193
120.766280165 | 401407.0 |     91.5253
120.766961287 | 401077.0 |     91.4899
120.767642409 | 401233.0 |     91.5083
120.768323631 | 401241.0 |     91.5094
120.769004753 | 401137.0 |     91.5003
120.769685875 | 401270.0 |     91.5126
120.770367097 | 401203.0 |     91.5057
120.771048119 | 401290.0 |     91.5149
 120.77172924 | 401313.0 |     91.5181
120.772410462 | 401302.0 |     91.5159
120.773091584 | 401224.0 |     91.5063
120.773772706 | 401240.0 |     91.5092
120.774453928 | 401579.0 |      91.542
 120.77513505 | 401324.0 |     91.5161
120.775816172 | 401281.0 |     91.5139
120.776497194 | 401471.0 |     91.5327
120.777178416 | 401473.0 |     91.5335
120.777859537 | 401412.0 |     91.5267
120.778540759 | 401439.0 |     91.5296
120.779221881 | 401477.0 |      91.534
120.779903003 | 401405.0 |     91.5255
120.780584225 | 401267.0 |     91.5121
120.781265347 | 401482.0 |     91.5343
120.781946369 | 401332.0 |     91.5169
